drydown_event_id,Van Genuchten R2,Exponential Decay R2,Linear Regression R2,Hybrid Model R2,Best Model
282,-7.445234915559595e-05,0.1783128179856195,0.17833231405717898,0.17831281966139712,Linear Regression
283,0.03031050002633162,0.026628966479250282,0.026636507288079425,0.02662897257863206,Van Genuchten
284,0.8984028382471516,,0.7866086805587417,,Van Genuchten
285,0.6638058893637062,,0.6251829872798995,,Van Genuchten
286,0.24394655594713277,,0.27406490657289073,,Linear Regression
287,0.4251658563557914,,0.4398435269702571,,Linear Regression
288,0.9917189117858729,0.9969107638828838,0.9581499143304435,0.9969110580750037,Hybrid Model
290,-0.01394275178212534,0.07613840355697676,0.07615157965331143,0.0761384049281677,Linear Regression
292,-0.0001679006254424742,0.26670161766309197,0.2667277391600965,0.2667016248278592,Linear Regression
294,-8.48495771359481e-05,0.20140178837881462,0.2014225633942548,0.20140179070422481,Linear Regression
296,0.05683695882214346,0.030298058006554718,0.030306068345582693,0.030298061127883913,Van Genuchten
298,0.6809662050549099,0.4762384537870492,0.4762652456915265,0.47623845744835,Van Genuchten
300,0.2758862639263192,0.2041077704825991,0.2041231273338322,0.2041077755157531,Van Genuchten
302,0.9768609153199677,0.9686400097993295,0.9472062566435354,0.9686406756648189,Van Genuchten
312,0.9911951945660863,0.9968894215355714,0.9614490316103674,0.9968894415959579,Hybrid Model
313,-0.2780462437035842,0.3215831328905824,0.32160852857031574,0.32158313681375006,Linear Regression
314,-0.00014524383230662963,0.32730293791802256,0.3273254263316251,0.3273029406461687,Linear Regression
315,-4.658521172484775e-05,0.1305132216292726,0.13052679651713395,0.13051322349162542,Linear Regression
316,0.006386078040439558,0.06995331829980189,0.06996510322243821,0.06995331918307557,Linear Regression
317,-0.004924778694506138,0.007041478662170975,0.007044347180063082,0.007041481252192949,Linear Regression
318,0.9788693336433824,0.9795037903499906,0.9525834253763268,0.9795053436335763,Hybrid Model
319,0.983246908984906,0.9868447296101597,0.8796789721365611,0.9868493493259624,Hybrid Model
320,0.5499678617154858,0.5450480683015917,0.17710549749206372,0.5656635105652676,Hybrid Model
321,0.9926944878865777,0.99453952625613,0.9016114128197433,0.9945402949351394,Hybrid Model
322,-0.14061792651253113,0.02492006981275141,0.024925878670967627,0.024920075984140477,Linear Regression
323,0.9789135556062926,0.9690360215155229,0.861692167208586,0.9690512810363279,Van Genuchten
324,-0.13265762508323897,0.02031775710206163,0.020321818430636185,0.020317759615910536,Linear Regression
325,0.9881124096925723,0.9959651114035255,0.9703095785419665,0.9959656326101356,Hybrid Model
326,-0.09792129834669439,0.3589062536818075,0.35893196176513154,0.35890625370739726,Linear Regression
327,-0.00018128700048247737,0.2919202627177887,0.29193946637668255,0.2919202644982879,Linear Regression
328,0.004278749903702805,0.09077470870127069,0.0907878015908613,0.0907747092174398,Linear Regression
329,0.002108660583227673,0.09751439828553154,0.09752724697577086,0.09751439948258789,Linear Regression
330,0.07191389402947035,0.022073898063049158,0.02207774155565112,0.02207390868851644,Van Genuchten
331,0.9732510358067503,0.9759125186888096,0.8917380945961757,0.9759135262653866,Hybrid Model
332,0.06456926857788692,0.09721983308766524,0.09723225940543034,0.09721983644094678,Linear Regression
334,0.1848905129832844,0.12911901482040233,0.1291318023132837,0.12911901863005937,Van Genuchten
335,0.08470787572239102,0.10095672272991052,0.10097136614489066,0.10095672445029003,Linear Regression
336,0.07181882769586678,0.07747331568622418,0.0774836633563879,0.07747331802271828,Linear Regression
337,0.17320455506283428,0.21738791827520254,0.21740347198307108,0.2173879185690507,Linear Regression
338,0.9881738390173158,0.9968594637111534,0.9740667957180381,0.9968595453040943,Hybrid Model
339,-0.08474991481078287,,0.49577216758665643,,Linear Regression
340,-0.00014826434345827089,0.30172334226347886,0.30174501217946936,0.3017233432500006,Linear Regression
341,-6.054276510414347e-05,0.14126535135902363,0.1412809757089829,0.1412653520826701,Linear Regression
342,-0.00048319016345477195,0.1152932498184579,0.11530785472054683,0.11529324984821887,Linear Regression
343,-0.21188663678186503,0.04785355267135638,0.04786653719072376,0.04785357188056416,Linear Regression
344,0.13088519123713527,0.12903961032893985,0.1290491806141162,0.12903961066330094,Van Genuchten
345,0.006562563402245147,0.06942814328705149,0.06943630670857004,0.0694281455930037,Linear Regression
346,0.7108187585037721,,0.6230054936116449,,Van Genuchten
347,-0.1383287505704467,0.045197362676724695,0.045207330003765867,0.04519736810622199,Linear Regression
348,-0.09940573050097745,0.059654880652031284,0.05966330294691613,0.05965488487607118,Linear Regression
349,-0.12452765897493956,0.029406760011791766,0.029414225972988484,0.029406763658131996,Linear Regression
350,0.981262020081255,0.9425654929945017,0.9052218765990004,0.9425768697623326,Van Genuchten
351,0.01291808586396559,0.13302590865401853,0.13303937477655547,0.1330259126906045,Linear Regression
352,0.9937588184702866,0.9967102680791597,0.9575201995936923,0.9967103465853614,Hybrid Model
353,-0.07193612673727623,0.6024812040269798,0.6025168135419154,0.6024812070564314,Linear Regression
354,-0.00016979218598822676,0.3847837114702185,0.38481212168364276,0.38478371767956143,Linear Regression
355,-0.00013536517908230294,,0.2805252969077656,,Linear Regression
356,0.001169405655403688,0.13752261367326923,0.13753876040746948,0.13752262217424693,Linear Regression
357,0.030667651778369942,0.03783195612528123,0.03783651061471571,0.03783195624052338,Linear Regression
358,0.012554111953405278,0.0900084913831588,0.09001569679658128,0.09000849156970558,Linear Regression
359,-0.09815476677576984,0.002702450887527408,0.002704063262882861,0.0027024509558501997,Linear Regression
377,0.9895631610882966,0.9968679229376962,0.9570793575356598,0.9968683145945457,Hybrid Model
378,-0.00020003221653630554,,0.5596430382411492,,Linear Regression
379,-0.00013574109996938866,0.293772293056178,0.29379923405889075,0.2937722975524345,Linear Regression
380,0.06464122340572975,0.001033370780209375,0.0010343077874238604,0.0010333736879843958,Van Genuchten
381,0.380421474392841,0.3233761012033233,0.3233866916047212,0.3233761012443963,Van Genuchten
382,0.7919853633123862,0.7705981021159698,0.7698158994132543,0.7705981114445457,Van Genuchten
383,0.38070941259009405,0.3591975641869799,0.3592126342962264,0.3591975649626592,Van Genuchten
384,0.1207700630195524,0.1444243979494807,0.14443603899184976,0.1444244002866547,Linear Regression
385,-0.08705469230784968,0.0362194360318554,0.03622699987067357,0.036219441691562215,Linear Regression
386,-0.04072455341903036,0.09691105471458328,0.09692355610010783,0.09691106708332653,Linear Regression
387,0.09496175739044865,0.15588511376941427,0.1559003660712851,0.1558851172921054,Linear Regression
388,0.018633009881235507,0.13718941686742736,0.1372030215235036,0.1371894269112106,Linear Regression
389,-0.01978883721633351,0.07001384966446844,0.07002456070243945,0.07001385022403728,Linear Regression
390,-0.024413967068886544,0.06337978315629889,0.06338638037012201,0.06337978466512806,Linear Regression
391,-0.019805712807402953,0.07034319742479811,0.07035590465175978,0.07034321370456575,Linear Regression
392,0.9910831813850114,0.9977601533277737,0.9632233313439682,0.9977602808750012,Hybrid Model
393,-0.005172366658781957,,0.5413827544599966,,Linear Regression
394,-0.0001805638344158922,0.4167064969607095,0.41673548849970055,0.4167065020880706,Linear Regression
395,-7.056357587109652e-05,0.18883011953838913,0.1888483594917143,0.18883013145182082,Linear Regression
396,-0.30952301853796715,0.04938324377752368,0.04939212550843319,0.04938324432419505,Linear Regression
397,0.05494774362229604,0.11603394446839732,0.1160411598404193,0.11603394677416579,Linear Regression
398,0.2761485052211624,,0.32709854314835174,,Linear Regression
399,0.08188530533607852,0.13900422215224784,0.13901173760183183,0.13900422306065552,Linear Regression
400,0.020056970369034643,0.12323081046344964,0.12324899389886002,0.12323082297915522,Linear Regression
401,0.03078643691782157,0.1543535936458308,0.15437119871301241,0.1543535980410614,Linear Regression
402,-0.019905934376866385,0.11424555875509024,0.1142569093318544,0.1142455610574018,Linear Regression
403,-0.03020998591335533,0.10609674313142592,0.10610893415117228,0.10609674419793647,Linear Regression
404,-0.06720571649249885,0.08004864092156216,0.08005923969915352,0.08004864401812406,Linear Regression
405,-0.03427605040065962,0.0990438859626196,0.09905421206395781,0.09904388734182912,Linear Regression
406,0.054777554165399533,0.1453290110615839,0.14534458971492448,0.14532901322905323,Linear Regression
407,0.9836327160412783,0.9968510011839464,0.9835474174410345,0.9968510020809325,Hybrid Model
408,-0.01085579129050629,,0.6258636975638774,,Linear Regression
409,-0.0015399517672189944,0.5100817459278301,0.5101233674942287,0.5100817495111105,Linear Regression
410,-0.00010183874060842868,0.3049858308094423,0.305016860211635,0.30498583399091606,Linear Regression
412,0.001223834891721065,0.10228961151597094,0.10230286604842032,0.10228961321547925,Linear Regression
413,-0.10681687879355328,0.08029981782262297,0.08030814307643452,0.08029981824179111,Linear Regression
414,0.591198024609644,0.5921171824119275,0.5913317371585947,0.5921171957847764,Hybrid Model
430,0.9917458512239449,0.9975725306545739,0.9541682659222375,0.9975725659876894,Hybrid Model
431,-0.06653512296949637,,0.6883862525327795,,Linear Regression
432,-0.00015240421392270775,,0.44995370690925673,,Linear Regression
433,-0.003379534840832754,0.37923546294510335,0.3792656892639086,0.3792354710804392,Linear Regression
434,-0.20889570388049217,0.0705464857610325,0.07056145590830853,0.07054649247261713,Linear Regression
435,-0.2376710368487105,0.0008576980996388706,0.0008592380682330703,0.0008577075817443047,Linear Regression
436,-0.2233605689860796,0.016190331722046647,0.016194380950874776,0.016190331725448814,Linear Regression
437,0.14415015758722405,0.17972694614935825,0.17973678664680692,0.17972694644380305,Linear Regression
438,-0.14471321968729178,0.03207755424790659,0.03208327027950286,0.03207756024517672,Linear Regression
439,0.3776202451054048,0.1304481811370115,0.13046783952355934,0.13044818148631354,Van Genuchten
440,0.19700599234576555,0.23145067627818694,0.23146502427389581,0.2314506772061582,Linear Regression
441,0.2368040985745603,0.07555874650884942,0.07557579728396913,0.07555875113866584,Van Genuchten
442,0.013649590369753661,0.1465238313656425,0.14653990131578942,0.14652383154091697,Linear Regression
443,0.1248346705145339,0.20712404453854494,0.20714160751567157,0.2071240449206594,Linear Regression
444,0.016132628349179168,0.12734093136331592,0.12735649605263522,0.12734093938858682,Linear Regression
445,0.9867281847968781,0.9973676915688924,0.9773647807199224,0.9973677035107041,Hybrid Model
447,-0.009054858041378733,,0.6153959022212914,,Linear Regression
449,-0.00022392200600029888,0.42079181638301755,0.42081602619760483,0.4207918204267145,Linear Regression
451,0.05043706765856426,0.014483375749894889,0.014487789280484331,0.01448337582860404,Van Genuchten
453,-0.07184547186410706,0.00027239724355221373,0.0002729061742615668,0.00027239816356083857,Linear Regression
455,0.9865558058722401,0.995543886019907,0.8307822098776758,0.9955520817921225,Hybrid Model
457,0.9511783938851818,0.9671068600111205,0.8125730009968012,0.9671222759053638,Hybrid Model
459,0.9909355751646608,0.9920311984158338,0.8352556400714805,0.9920358479662852,Hybrid Model
460,-0.10011715464430271,0.04883330689290677,0.04884139529546094,0.04883330738476355,Linear Regression
461,0.1309448532558659,0.04865623834930988,0.048666022583014,0.04865624101441224,Van Genuchten
463,-0.22226515680411096,0.015664998567065047,0.015670483000069346,0.015665000597882672,Linear Regression
464,0.08719140429418626,0.13759244542844218,0.13761194001560295,0.1375924482555685,Linear Regression
465,0.15046027471853307,0.17974907816470254,0.17976619799670535,0.17974908205985762,Linear Regression
466,0.18794497656556186,0.1518723466708496,0.15189050219224798,0.15187234988609244,Van Genuchten
467,0.9924124617377371,0.9963651390942255,0.9480755492827041,0.9963656304259182,Hybrid Model
468,-0.17289076537237147,,0.42900617813881603,,Linear Regression
469,-0.0020922122900919327,0.45082696684749,0.4508545609616996,0.4508269701164387,Linear Regression
470,-9.903023113388976e-05,0.21342247027389216,0.21344847299627834,0.21342248178057477,Linear Regression
471,-0.03878959867339238,0.2496885239079185,0.24971449208243968,0.24968853272030078,Linear Regression
472,-0.1907696144898683,0.1466155958051616,0.14663714204218548,0.1466155981277938,Linear Regression
473,-0.11292201514981359,0.08662584886385627,0.08663997115959954,0.08662585443068005,Linear Regression
474,0.7575106331570949,,0.7223397100175654,,Van Genuchten
488,0.9840215066703029,0.981297151369905,0.9070610683545725,0.9812974631572128,Van Genuchten
489,0.9871657116711481,0.9938982994724729,0.961173906795034,0.9938997789333052,Hybrid Model
490,-0.08621671545593501,,0.602773157457133,,Linear Regression
491,-0.00028331342664356107,0.4461536686714157,0.4461781845610985,0.44615367005425643,Linear Regression
492,-0.005518316615485963,0.3589049353736794,0.35893250988736836,0.3589049423652012,Linear Regression
493,-0.16770338520233108,0.1904240903881388,0.19045561731643346,0.19042409557699347,Linear Regression
494,-0.24945876065792083,0.021487344781599194,0.021495874397077452,0.021487358192165074,Linear Regression
495,-0.33525457766348565,0.242009889216951,0.24204063997794711,0.24200989639253967,Linear Regression
496,0.7251207749166053,,0.7413836896728858,,Linear Regression
497,0.024789455480256906,0.03887191057854922,0.038878427070277666,0.03887191599697393,Linear Regression
498,0.06141524191457737,0.17445149393925963,0.17446095820968144,0.17445149430165796,Linear Regression
499,0.1032187886552609,0.1748276874646416,0.17483716937097982,0.17482769052185487,Linear Regression
500,0.4280285658433741,0.436829447751357,0.43684195948426885,0.43682945221413283,Linear Regression
501,0.326920705736205,0.37882233935608334,0.3788354571351654,0.3788223403238674,Linear Regression
502,0.9887559644033653,0.9942111437037967,0.9542619998551533,0.9942125356974043,Hybrid Model
503,-0.011863594220068663,0.46728564349762225,0.4673151371176011,0.4672856460901572,Linear Regression
504,-0.0834300365561178,0.4874729905184335,0.48751412504362135,0.4874729916004972,Linear Regression
505,-0.007175343453519112,0.3476218248972188,0.3476531155591057,0.34762182622800364,Linear Regression
506,0.047943337628504,0.00033425583050006313,0.0003348563840558372,0.0003342561491762597,Van Genuchten
507,-0.2807393786095891,0.06772490919599328,0.06773934678977023,0.06772491230495503,Linear Regression
508,0.740019252696516,,0.7494399428333194,,Linear Regression
509,-0.21534089859379857,0.4744475631482443,0.47447872393956747,0.4744475631578936,Linear Regression
510,-0.16261741846770672,0.00871378321077032,0.008720107309375003,0.008713793781792267,Linear Regression
511,0.013135011437697908,0.08822355789437597,0.08823761440885403,0.08822356220425331,Linear Regression
512,0.18162361502763624,0.11718061984708594,0.11719633198876589,0.1171806290292714,Van Genuchten
513,-0.12964539183966672,0.024599517154120454,0.02460388479047393,0.02459952309706981,Linear Regression
514,-0.06501130921959253,0.05461276199609255,0.05462326741624812,0.05461276383099434,Linear Regression
515,-0.05111705528767163,0.04568345358691528,0.04569008032163169,0.04568345791537631,Linear Regression
516,-0.1421078308795436,0.008616878433052477,0.008620259575307765,0.008616879877580863,Linear Regression
517,0.989642054559642,0.9962745642732352,0.9663153356697541,0.9962750260008734,Hybrid Model
519,-0.018608699218118252,0.5749791943680048,0.5750196165798561,0.5749791984411293,Linear Regression
521,-9.618269359945586e-05,,0.20524501506793869,,Linear Regression
523,0.003750614875831393,0.11628743633364291,0.11629930072537298,0.11628743843766132,Linear Regression
525,0.026715584213471644,0.005505546918052384,0.005508692254339698,0.0055055573041988826,Van Genuchten
527,0.9558927269388805,0.9676648034906371,0.9487367555841659,0.9676688518442147,Hybrid Model
529,0.7957563355768694,,0.7713157458891934,,Van Genuchten
549,0.9875567894742149,0.9954409756537351,0.976533420628084,0.9954414406011125,Hybrid Model
550,-0.058730587916724586,0.506841522184479,0.5068714298982531,0.5068415223817667,Linear Regression
551,-0.001405906019074754,0.33739272797575803,0.33741625814172926,0.33739273207255305,Linear Regression
552,-4.597572785236537e-05,0.14397629137285406,0.14399251197601226,0.14397629391673472,Linear Regression
553,0.027274885581541453,0.014372566964781508,0.014377961349682278,0.014372581342767976,Van Genuchten
554,-0.2032723124396505,0.03992520681777911,0.0399365278985887,0.03992521372773061,Linear Regression
555,0.6771781241944419,,0.628178810490464,,Van Genuchten
571,0.9873514697536449,0.9974119413265312,0.9836165530443012,0.9974120051227967,Hybrid Model
572,-0.06556551740473049,,0.5231632785989,,Linear Regression
573,-5.9460555966506234e-05,0.16750543422601905,0.16752289862207825,0.16750543537755958,Linear Regression
574,-0.002245623732942237,0.35651071691100544,0.3565402802737042,0.356510719336935,Linear Regression
575,-0.019231549191599306,0.2362740840420463,0.23630273653184852,0.2362740851436731,Linear Regression
576,-0.009517260658445936,0.015025804234895745,0.01502881483993268,0.015025804828074474,Linear Regression
577,0.6932939838158851,,0.5751815329881684,,Van Genuchten
593,0.9921229734075684,0.9969389847052414,0.9582250939505491,0.9969396348883759,Hybrid Model
594,-0.034891781408706635,0.47366350035639615,0.4736955898104144,0.4736635086499297,Linear Regression
